Order , Size , Ingestion Rate , Ingestion CPU Time , Computation CPU time
313214 , 1010000 , 2732396.500000 , 0.003660 , 1.568030
314141 , 1020000 , 1501704.000000 , 0.006659 , 0.875727
315061 , 1030000 , 1291906.125000 , 0.007741 , 0.952636
315962 , 1040000 , 1198216.500000 , 0.008346 , 0.886424
316898 , 1050000 , 1202855.375000 , 0.008314 , 0.916640
317782 , 1060000 , 1206646.875000 , 0.008287 , 0.920878
318640 , 1070000 , 1169407.750000 , 0.008551 , 0.916956
319467 , 1080000 , 1184853.000000 , 0.008440 , 0.932814
320321 , 1090000 , 1240558.000000 , 0.008061 , 0.895344
321210 , 1100000 , 1238117.500000 , 0.008077 , 0.453245
321210 , 1100001 , 7494.341309 , 0.000133 , 0.000080
