Order , Size , Ingestion Rate , Ingestion CPU Time , Computation CPU time
313214 , 1010000 , 3002712.750000 , 0.003330 , 3.827031
314141 , 1020000 , 719266.000000 , 0.013903 , 0.410036
315061 , 1030000 , 772647.687500 , 0.012943 , 0.419356
315962 , 1040000 , 1148931.625000 , 0.008704 , 0.446996
316898 , 1050000 , 1295648.250000 , 0.007718 , 0.419267
317782 , 1060000 , 1320772.625000 , 0.007571 , 0.408101
318640 , 1070000 , 1319511.750000 , 0.007579 , 0.428548
319467 , 1080000 , 860860.625000 , 0.011616 , 0.412922
320321 , 1090000 , 1898811.500000 , 0.005266 , 0.432302
321210 , 1100000 , 1395648.500000 , 0.007165 , 0.420030
321210 , 1100001 , 2807.750488 , 0.000356 , 0.000074
