Order , Size , Ingestion Rate , Ingestion CPU Time , Computation CPU time
313214 , 1010000 , 2696917.500000 , 0.003708 , 1.750660
314141 , 1020000 , 1107732.000000 , 0.009027 , 0.227307
315061 , 1030000 , 1292787.250000 , 0.007735 , 0.236432
315962 , 1040000 , 1350355.250000 , 0.007405 , 0.231506
316898 , 1050000 , 1220818.750000 , 0.008191 , 0.237845
317782 , 1060000 , 1111317.875000 , 0.008998 , 0.236584
318640 , 1070000 , 1310484.750000 , 0.007631 , 0.233313
319467 , 1080000 , 1325723.375000 , 0.007543 , 0.248352
320321 , 1090000 , 1181115.125000 , 0.008467 , 0.249340
321210 , 1100000 , 1091665.125000 , 0.009160 , 0.253412
321210 , 1100001 , 4048.632324 , 0.000247 , 0.000067
