Order , Size , Ingestion Rate , Ingestion CPU Time , Computation CPU time
313214 , 1010000 , 2267948.000000 , 0.004409 , 1.570302
314141 , 1020000 , 1465169.500000 , 0.006825 , 1.674384
315061 , 1030000 , 1157459.000000 , 0.008640 , 1.746292
315962 , 1040000 , 1142054.875000 , 0.008756 , 1.700439
316898 , 1050000 , 1179920.375000 , 0.008475 , 1.793509
317782 , 1060000 , 1251595.375000 , 0.007990 , 1.716946
318640 , 1070000 , 1155370.625000 , 0.008655 , 1.348856
319467 , 1080000 , 737493.250000 , 0.013559 , 1.781744
320321 , 1090000 , 769250.750000 , 0.013000 , 1.780737
321210 , 1100000 , 1081673.625000 , 0.009245 , 1.771546
321210 , 1100001 , 53812.625000 , 0.000019 , 0.000170
