Order , Size , Ingestion Rate , Ingestion CPU Time , Computation CPU time
313214 , 1010000 , 2813994.500000 , 0.003554 , 1.669385
314141 , 1020000 , 935899.187500 , 0.010685 , 0.199571
315061 , 1030000 , 1217990.000000 , 0.008210 , 0.202414
315962 , 1040000 , 1262302.375000 , 0.007922 , 0.203075
316898 , 1050000 , 1285052.000000 , 0.007782 , 0.207331
317782 , 1060000 , 1280397.750000 , 0.007810 , 0.210428
318640 , 1070000 , 1227104.250000 , 0.008149 , 0.207539
319467 , 1080000 , 1308100.250000 , 0.007645 , 0.217323
320321 , 1090000 , 934601.187500 , 0.010700 , 0.212241
321210 , 1100000 , 1219073.000000 , 0.008203 , 0.220494
321210 , 1100001 , 25495.246094 , 0.000039 , 0.000115
