Order , Size , Ingestion Rate , Ingestion CPU Time , Computation CPU time
313214 , 1010000 , 2381721.500000 , 0.004199 , 1.665129
314141 , 1020000 , 1092846.625000 , 0.009150 , 0.216600
315061 , 1030000 , 1151859.125000 , 0.008682 , 0.216534
315962 , 1040000 , 1291145.000000 , 0.007745 , 0.211046
316898 , 1050000 , 1079855.125000 , 0.009261 , 0.217117
317782 , 1060000 , 1320836.125000 , 0.007571 , 0.213833
318640 , 1070000 , 1064552.875000 , 0.009394 , 0.214408
319467 , 1080000 , 1295735.250000 , 0.007718 , 0.217293
320321 , 1090000 , 1166034.000000 , 0.008576 , 0.225524
321210 , 1100000 , 1283180.625000 , 0.007793 , 0.226998
321210 , 1100001 , 6333.523438 , 0.000158 , 0.000112
